Date,Branch,Shift,Inflow_m3,Outflow_m3,Backwashing_m3,Non_Revenue_Pct,Revenue_Water_m3,Loss_m3,Total_Production_Cost_RWF,Water_Revenue_RWF,Net_Profit_RWF,Recorded_By,pH_Level,Turbidity_NTU,Temperature,Chlorine_mgL,Nitrate_mgL,Efficiency_%
2021-01-18,NZOVE,Day,77149.0,55688.2,2132.3,10,47987.1,21460.8,2285082.0,36854079.0,34568997.0,system_historical,7.46,3.13,18.73,0.45,40.38,72.2
2021-01-19,NZOVE,Day,72661.6,54662.4,1812.3,10,47383.8,17999.2,2130866.0,36390791.0,34259925.0,system_historical,7.36,4.17,22.01,0.44,16.8,75.2
2021-01-19,NZOVE,Night,75293.5,56608.8,2089.3,10,48858.6,18684.7,2342096.0,37523417.0,35181321.0,system_historical,7.26,2.34,23.08,0.39,25.86,75.2
2021-01-20,NZOVE,Day,78764.2,61732.5,3020.8,10,52538.5,17031.7,2066104.0,40349551.0,38283447.0,system_historical,7.4,2.6,21.97,0.41,43.32,78.4
2021-01-21,NZOVE,Day,72327.2,56754.5,2084.9,10,48994.2,15572.7,2237821.0,37627522.0,35389701.0,system_historical,7.32,2.69,19.77,0.26,41.43,78.5
2021-01-21,NZOVE,Night,71335.3,53423.0,1938.7,10,46142.0,17912.3,2216467.0,35437046.0,33220578.0,system_historical,7.06,3.61,23.23,0.35,27.87,74.9
2021-01-22,NZOVE,Day,79557.2,61659.4,1881.5,10,53611.9,17897.8,2509587.0,41173944.0,38664357.0,system_historical,7.41,4.04,18.26,0.27,40.43,77.5
2021-01-23,NZOVE,Day,83537.2,63145.8,1975.0,10,54856.2,20391.4,2476972.0,42129525.0,39652553.0,system_historical,7.15,4.32,19.45,0.28,40.21,75.6
2021-01-23,NZOVE,Night,78024.8,55269.1,1700.1,10,48042.2,22755.7,2326383.0,36896372.0,34569990.0,system_historical,7.37,3.36,22.73,0.44,25.99,70.8
2021-01-24,NZOVE,Day,71523.5,56015.9,1974.4,10,48439.9,15507.6,2110534.0,37201837.0,35091304.0,system_historical,6.85,4.25,21.67,0.36,27.51,78.3
2021-01-25,NZOVE,Day,78631.1,55097.5,2271.7,10,47316.0,23533.7,2427624.0,36338678.0,33911054.0,system_historical,7.25,1.66,21.95,0.26,40.6,70.1
2021-01-26,NZOVE,Day,83322.6,65722.1,2259.8,10,56890.1,17600.6,2340848.0,43691573.0,41350725.0,system_historical,6.96,4.28,22.49,0.41,29.64,78.9
2021-01-26,NZOVE,Night,72803.2,56014.4,1958.9,10,48454.1,16788.8,2136204.0,37212728.0,35076523.0,system_historical,6.95,2.49,21.53,0.26,43.17,76.9
2021-01-27,NZOVE,Day,78539.0,57832.9,2670.9,10,49378.7,20706.1,2264151.0,37922857.0,35658706.0,system_historical,7.16,2.6,21.48,0.43,21.21,73.6
2021-01-28,NZOVE,Day,73354.6,52270.5,2609.6,10,44433.9,21084.1,2066044.0,34125227.0,32059183.0,system_historical,6.84,2.81,19.85,0.4,43.17,71.3
2021-01-28,NZOVE,Night,81749.0,62445.1,2734.5,10,53466.1,19303.8,2824612.0,41061991.0,38237379.0,system_historical,7.35,1.66,21.36,0.33,28.25,76.4
2021-01-29,NZOVE,Day,82046.4,58199.8,2197.7,10,50182.1,23846.7,2592606.0,38539866.0,35947260.0,system_historical,7.19,3.19,20.02,0.3,20.63,70.9
2021-01-30,NZOVE,Day,78272.7,60634.3,2566.5,10,52004.4,17638.5,2593376.0,39939356.0,37345979.0,system_historical,7.31,4.43,20.19,0.31,26.13,77.5
2021-01-30,NZOVE,Night,81229.2,63484.0,2679.7,10,54455.9,17745.3,2674601.0,41822126.0,39147525.0,system_historical,7.15,3.73,21.92,0.29,31.37,78.2
2021-01-31,NZOVE,Day,83724.8,63522.6,2858.5,10,54311.8,20202.3,2216938.0,41711459.0,39494522.0,system_historical,7.38,3.31,21.88,0.28,27.4,75.9
2021-02-01,NZOVE,Day,75763.8,59976.6,2533.8,10,51445.1,15787.1,2502580.0,39509859.0,37007279.0,system_historical,7.04,4.45,22.09,0.27,42.11,79.2
2021-02-02,NZOVE,Day,80413.7,57423.7,1988.4,10,49692.9,22990.0,2469636.0,38164123.0,35694487.0,system_historical,7.33,2.86,23.58,0.43,24.04,71.4
2021-02-02,NZOVE,Night,69722.6,49240.9,2088.0,10,42228.7,20481.8,2168225.0,32431669.0,30263445.0,system_historical,7.08,4.43,21.4,0.3,37.4,70.6
2021-02-03,NZOVE,Day,82284.2,58848.2,2547.3,10,50416.0,23436.0,2372475.0,38719523.0,36347048.0,system_historical,7.11,1.71,22.48,0.38,31.85,71.5
2021-02-04,NZOVE,Day,84134.0,65563.1,2790.8,10,56216.0,18570.9,2548595.0,43173913.0,40625318.0,system_historical,7.17,3.05,22.25,0.35,21.59,77.9
2021-02-05,NZOVE,Day,81311.1,59558.8,2214.3,10,51388.6,21752.3,2676898.0,39466447.0,36789548.0,system_historical,7.44,2.83,22.4,0.27,28.93,73.2
2021-02-05,NZOVE,Night,83445.5,59018.6,1809.6,10,51307.2,24426.8,2313286.0,39403943.0,37090657.0,system_historical,6.92,3.59,18.18,0.3,24.75,70.7
2021-02-06,NZOVE,Day,75005.0,56981.0,2327.0,10,48955.9,18024.0,2259662.0,37598156.0,35338494.0,system_historical,7.4,3.65,22.08,0.43,37.78,76.0
2021-02-07,NZOVE,Day,83984.1,65250.5,2762.4,10,55963.0,18733.7,2348143.0,42979593.0,40631450.0,system_historical,7.23,2.19,21.45,0.41,42.62,77.7
2021-02-08,NZOVE,Day,74218.6,53708.2,2174.3,10,46163.0,20510.5,2084915.0,35453194.0,33368279.0,system_historical,7.46,1.9,21.24,0.39,39.08,72.4
2021-02-08,NZOVE,Night,74593.5,59259.2,2653.1,10,50680.1,15334.4,2534876.0,38922348.0,36387472.0,system_historical,6.84,4.13,22.71,0.29,42.22,79.4
2021-02-09,NZOVE,Day,73982.2,53983.5,2140.3,10,46444.8,19998.7,2116342.0,35669620.0,33553279.0,system_historical,7.4,1.74,21.95,0.31,38.44,73.0
2021-02-10,NZOVE,Day,75255.0,58282.7,2025.2,10,50429.3,16972.3,2625070.0,38729667.0,36104597.0,system_historical,6.98,2.4,22.08,0.34,33.56,77.4
2021-02-10,NZOVE,Night,79410.3,61497.8,2789.1,10,52559.0,17912.4,1976795.0,40365295.0,38388500.0,system_historical,7.17,3.72,18.22,0.45,20.66,77.4
2021-02-11,NZOVE,Day,72147.8,51237.0,1971.4,10,44141.9,20910.8,2033519.0,33900952.0,31867433.0,system_historical,7.13,2.06,20.86,0.45,32.93,71.0
2021-02-12,NZOVE,Day,77467.3,56506.0,2495.1,10,48360.2,20961.3,2274144.0,37140664.0,34866520.0,system_historical,7.47,3.17,21.14,0.45,31.1,72.9
2021-02-12,NZOVE,Night,74533.0,58793.0,1939.7,10,50974.0,15740.0,2398637.0,39148065.0,36749428.0,system_historical,7.02,3.06,22.65,0.37,42.99,78.9
2021-02-13,NZOVE,Day,80897.9,60288.5,2040.6,10,52219.0,20609.3,2621361.0,40104222.0,37482860.0,system_historical,7.42,1.81,22.89,0.37,29.3,74.5
2021-02-14,NZOVE,Day,82602.1,62474.3,1953.0,10,54273.8,20127.9,2668880.0,41682300.0,39013420.0,system_historical,7.1,1.85,22.57,0.34,41.19,75.6
2021-02-15,NZOVE,Day,79353.4,60542.1,2271.3,10,52216.7,18811.2,2488637.0,40102394.0,37613757.0,system_historical,7.04,2.71,20.89,0.35,18.43,76.3
2021-02-15,NZOVE,Night,70711.8,50167.6,1683.1,10,43467.7,20544.2,2204076.0,33383232.0,31179156.0,system_historical,7.3,2.65,18.27,0.41,30.11,70.9
2021-02-16,NZOVE,Day,81003.5,63718.4,2395.5,10,54951.0,17285.1,2568717.0,42202405.0,39633688.0,system_historical,6.81,4.11,22.59,0.45,26.87,78.7
2021-02-17,NZOVE,Day,74084.4,59178.5,2743.2,10,50517.4,14906.0,1980647.0,38797385.0,36816738.0,system_historical,6.91,1.82,18.69,0.36,29.47,79.9
2021-02-18,NZOVE,Day,75938.9,53937.9,2035.8,10,46508.3,22001.0,2261246.0,35718376.0,33457129.0,system_historical,6.92,4.28,20.14,0.37,17.04,71.0
2021-02-18,NZOVE,Night,75427.3,58117.2,2321.1,10,49984.4,17310.1,2451717.0,38388033.0,35936317.0,system_historical,7.31,2.27,22.97,0.35,32.74,77.1
2021-02-19,NZOVE,Day,75318.3,54881.9,2234.3,10,47159.5,20436.4,2260809.0,36218464.0,33957655.0,system_historical,7.19,1.79,23.54,0.27,19.07,72.9
2021-02-20,NZOVE,Day,80272.3,59348.9,2256.0,10,51158.0,20923.4,2365079.0,39289337.0,36924257.0,system_historical,6.94,3.76,20.11,0.4,29.25,73.9
2021-02-21,NZOVE,Day,83440.8,65771.5,2541.4,10,56653.0,17669.4,2560811.0,43509472.0,40948661.0,system_historical,7.39,1.6,19.34,0.42,25.28,78.8
2021-02-21,NZOVE,Night,73913.8,54532.8,2163.2,10,46916.3,19381.0,2641704.0,36031737.0,33390032.0,system_historical,7.2,3.59,19.69,0.27,20.07,73.8
2021-02-22,NZOVE,Day,75203.5,59747.7,1989.4,10,51783.5,15455.9,2211928.0,39769699.0,37557771.0,system_historical,7.09,2.11,20.44,0.32,22.86,79.4
2021-02-23,NZOVE,Day,69615.0,51326.2,2100.2,10,44093.4,18288.8,2352180.0,33863736.0,31511556.0,system_historical,7.05,4.14,21.37,0.42,26.02,73.7
2021-02-24,NZOVE,Day,81421.3,62637.7,2638.9,10,53734.9,18783.7,2422557.0,41268441.0,38845883.0,system_historical,7.28,1.91,18.19,0.37,15.25,76.9
2021-02-24,NZOVE,Night,79849.3,63298.3,2957.3,10,54011.2,16550.9,2354214.0,41480596.0,39126382.0,system_historical,6.91,1.95,23.11,0.39,34.62,79.3
2021-02-25,NZOVE,Day,70342.3,53019.6,2252.5,10,45465.2,17322.7,2188762.0,34917274.0,32728512.0,system_historical,6.86,3.81,18.35,0.41,21.42,75.4
2021-02-26,NZOVE,Day,69349.2,52286.1,2319.0,10,44738.5,17063.1,2326825.0,34359180.0,32032355.0,system_historical,6.93,4.12,21.69,0.35,16.87,75.4
2021-02-26,NZOVE,Night,72245.3,50598.0,1688.7,10,43849.5,21647.3,2325945.0,33676430.0,31350485.0,system_historical,7.03,4.49,23.05,0.41,24.32,70.0
2021-02-27,NZOVE,Day,74286.4,57669.3,2412.5,10,49489.8,16617.1,2502817.0,38008193.0,35505376.0,system_historical,7.12,2.05,19.52,0.26,35.8,77.6
2021-02-27,NZOVE,Night,70224.9,52984.5,2268.8,10,45417.2,17240.4,2324508.0,34880423.0,32555915.0,system_historical,6.86,3.04,21.03,0.35,21.24,75.4
2021-02-28,NZOVE,Day,83964.2,64070.0,3060.5,10,54602.6,19894.2,2239907.0,41934773.0,39694866.0,system_historical,7.35,4.14,23.6,0.38,42.0,76.3
2021-03-01,NZOVE,Day,69942.3,54522.1,2517.7,10,46552.2,15420.2,2248304.0,35752066.0,33503761.0,system_historical,7.28,2.3,23.54,0.42,28.92,78.0
2021-03-02,NZOVE,Day,71477.2,51051.8,2401.9,10,43544.7,20425.4,1913818.0,33442365.0,31528547.0,system_historical,7.06,4.45,22.2,0.36,25.44,71.4
2021-03-02,NZOVE,Night,80876.4,60966.7,2665.0,10,52205.0,19909.7,2302499.0,40093425.0,37790926.0,system_historical,7.35,3.34,21.34,0.42,44.37,75.4
2021-03-03,NZOVE,Day,83751.5,66223.8,3132.2,10,56469.2,17527.7,2505754.0,43368365.0,40862611.0,system_historical,7.19,2.29,20.98,0.45,19.84,79.1
2021-03-04,NZOVE,Day,81607.0,58044.0,1865.7,10,50373.9,23563.0,2674748.0,38687184.0,36012435.0,system_historical,7.04,2.81,23.35,0.31,30.33,71.1
2021-03-04,NZOVE,Night,76578.4,55916.4,2223.5,10,48101.2,20662.0,2800413.0,36941739.0,34141326.0,system_historical,7.35,2.73,19.26,0.39,17.91,73.0
2021-03-05,NZOVE,Day,72842.8,57970.6,1767.4,10,50406.1,14872.2,2124001.0,38711914.0,36587913.0,system_historical,7.21,2.53,23.58,0.28,38.81,79.6
2021-03-06,NZOVE,Day,68940.5,48621.9,1761.5,10,41998.2,20318.6,2437097.0,32254616.0,29817519.0,system_historical,7.48,2.75,20.52,0.28,41.0,70.5
2021-03-07,NZOVE,Day,79587.5,57312.5,1817.4,10,49763.8,22275.0,2444160.0,38218626.0,35774466.0,system_historical,7.01,3.54,22.7,0.4,38.03,72.0
2021-03-07,NZOVE,Night,81482.5,61964.5,1863.2,10,53904.9,19518.0,2367242.0,41398930.0,39031688.0,system_historical,7.23,2.11,22.05,0.27,17.08,76.0
2021-03-08,NZOVE,Day,78755.3,59040.9,2595.5,10,50541.3,19714.5,2149724.0,38815731.0,36666006.0,system_historical,7.27,3.12,19.0,0.41,17.17,75.0
2021-03-09,NZOVE,Day,75691.8,55936.2,2150.5,10,48192.1,19755.6,2154904.0,37011547.0,34856643.0,system_historical,7.08,3.43,18.54,0.4,32.12,73.9
2021-03-10,NZOVE,Day,68989.8,53476.0,2191.9,10,45936.4,15513.8,2458012.0,35279189.0,32821177.0,system_historical,7.06,4.46,18.21,0.43,30.56,77.5
2021-03-10,NZOVE,Night,70082.5,49311.0,2266.6,10,42113.3,20771.5,2324436.0,32342987.0,30018552.0,system_historical,7.46,3.82,18.27,0.45,22.0,70.4
2021-03-11,NZOVE,Day,76187.9,56743.0,1941.2,10,49127.5,19444.9,2478107.0,37729928.0,35251821.0,system_historical,6.86,2.04,23.86,0.33,44.63,74.5
2021-03-12,NZOVE,Day,80815.3,58988.6,2708.3,10,50381.4,21826.7,2372965.0,38692950.0,36319986.0,system_historical,7.27,3.3,20.58,0.28,26.97,73.0
2021-03-13,NZOVE,Day,80776.5,61202.0,2699.2,10,52382.5,19574.5,2593800.0,40229797.0,37635998.0,system_historical,6.95,1.87,23.92,0.44,20.33,75.8
2021-03-13,NZOVE,Night,83254.1,62471.4,2636.8,10,53587.5,20782.7,2555024.0,41155198.0,38600174.0,system_historical,7.26,1.65,22.87,0.33,38.64,75.0
2021-03-14,NZOVE,Day,81563.9,63728.9,2687.7,10,54668.3,17835.0,2279207.0,41985285.0,39706078.0,system_historical,6.84,1.54,20.95,0.32,43.14,78.1
2021-03-15,NZOVE,Day,69209.1,49006.5,1796.5,10,42309.4,20202.6,2141460.0,32493587.0,30352127.0,system_historical,6.98,2.63,23.93,0.42,40.47,70.8
2021-03-16,NZOVE,Day,79883.9,63594.1,2554.4,10,54680.3,16289.8,2183907.0,41994476.0,39810570.0,system_historical,7.16,1.55,22.38,0.41,18.02,79.6
2021-03-17,NZOVE,Day,78515.8,58135.1,2398.5,10,49923.1,20380.7,2473208.0,38340948.0,35867740.0,system_historical,7.44,4.27,22.55,0.38,16.49,74.0
2021-03-17,NZOVE,Night,81853.7,60154.2,2921.9,10,51216.8,21699.5,2308513.0,39334529.0,37026016.0,system_historical,7.39,3.42,20.45,0.3,19.53,73.5
2021-03-18,NZOVE,Day,75311.7,58632.0,2192.6,10,50576.3,16679.7,1930510.0,38842561.0,36912051.0,system_historical,7.42,3.89,18.02,0.42,30.28,77.9
2021-03-19,NZOVE,Day,78923.7,57285.1,2301.0,10,49255.6,21638.6,2017080.0,37828319.0,35811239.0,system_historical,7.39,3.52,21.2,0.32,16.29,72.6
2021-03-20,NZOVE,Day,76337.7,54755.4,2695.7,10,46584.2,21582.4,2510652.0,35776644.0,33265991.0,system_historical,7.37,4.38,22.14,0.25,35.0,71.7
2021-03-20,NZOVE,Night,81758.1,63066.6,2771.9,10,53988.0,18691.6,2097026.0,41462772.0,39365746.0,system_historical,7.39,2.62,20.53,0.3,26.17,77.1
2021-03-21,NZOVE,Day,71856.7,51611.7,2479.7,10,43970.8,20245.0,2362446.0,33769593.0,31407146.0,system_historical,7.03,4.35,23.77,0.35,18.68,71.8
2021-03-22,NZOVE,Day,81241.3,57779.0,1779.0,10,50222.1,23462.2,2746846.0,38570561.0,35823715.0,system_historical,6.84,1.91,19.38,0.35,17.3,71.1
2021-03-22,NZOVE,Night,75180.2,53804.8,1847.3,10,46577.0,21375.4,2520966.0,35771128.0,33250162.0,system_historical,7.03,1.88,22.41,0.41,43.34,71.6
2021-03-23,NZOVE,Day,74275.0,58866.4,2734.8,10,50244.9,15408.6,2350090.0,38588086.0,36237996.0,system_historical,7.15,3.76,21.71,0.33,42.14,79.3
2021-03-24,NZOVE,Day,70518.4,51786.9,1604.4,10,45003.8,18731.6,2291255.0,34562887.0,32271632.0,system_historical,7.5,3.94,21.02,0.29,25.74,73.4
2021-03-25,NZOVE,Day,78454.6,59035.4,2360.6,10,50771.3,19419.2,2473198.0,38992321.0,36519123.0,system_historical,7.15,3.13,18.53,0.31,17.71,75.2
2021-03-25,NZOVE,Night,74497.4,56328.2,2378.3,10,48317.1,18169.3,2283223.0,37107506.0,34824283.0,system_historical,7.07,2.37,18.71,0.36,27.47,75.6
2021-03-26,NZOVE,Day,75278.7,58717.2,2021.4,10,50824.0,16561.6,2146516.0,39032838.0,36886322.0,system_historical,7.34,3.91,19.81,0.37,19.63,78.0
2021-03-27,NZOVE,Day,81847.2,58554.9,2852.8,10,49846.6,23292.3,2898295.0,38282184.0,35383890.0,system_historical,6.98,3.06,19.89,0.26,26.23,71.5
2021-03-27,NZOVE,Night,79269.5,56313.1,2321.0,10,48360.8,22956.4,2242963.0,37141092.0,34898129.0,system_historical,6.81,2.77,18.2,0.36,30.77,71.0
2021-03-28,NZOVE,Day,71253.2,53029.2,1651.3,10,46075.0,18223.9,2274080.0,35385632.0,33111552.0,system_historical,6.85,4.45,22.18,0.36,43.83,74.4
2021-03-29,NZOVE,Day,82326.1,64577.0,2195.0,10,55924.4,17749.1,2222414.0,42949902.0,40727488.0,system_historical,7.18,2.71,23.08,0.36,31.05,78.4
2021-03-29,NZOVE,Night,82355.5,58910.2,2754.9,10,50264.3,23445.3,2537593.0,38602998.0,36065405.0,system_historical,7.38,4.09,22.88,0.4,30.16,71.5
2021-03-30,NZOVE,Day,84065.8,62451.7,2893.6,10,53312.9,21614.1,2707645.0,40944297.0,38236653.0,system_historical,7.31,3.04,18.29,0.28,32.62,74.3
2021-03-31,NZOVE,Day,80075.3,59021.8,2049.9,10,51069.7,21053.5,2084764.0,39221563.0,37136798.0,system_historical,6.88,2.32,23.0,0.44,35.64,73.7
2021-04-01,NZOVE,Day,82531.6,61163.9,1959.7,10,53087.8,21367.8,2067981.0,40771424.0,38703443.0,system_historical,7.06,3.71,21.78,0.31,38.01,74.1
2021-04-01,NZOVE,Night,77584.6,56784.7,2205.6,10,48900.7,20799.9,2264703.0,37555719.0,35291016.0,system_historical,7.34,4.38,20.56,0.25,43.63,73.2
2021-04-02,NZOVE,Day,82923.5,63135.2,3095.3,10,53726.4,19788.3,2306153.0,41261892.0,38955739.0,system_historical,7.37,3.1,23.66,0.29,26.43,76.1
2021-04-03,NZOVE,Day,81151.2,59833.8,2385.4,10,51465.0,21317.4,2316917.0,39525142.0,37208225.0,system_historical,7.03,1.52,18.09,0.28,21.18,73.7
2021-04-03,NZOVE,Night,73298.0,57785.6,2249.0,10,49758.1,15512.3,2468143.0,38214234.0,35746090.0,system_historical,7.03,3.13,20.88,0.37,35.7,78.8
2021-04-04,NZOVE,Day,82107.5,60015.4,2705.4,10,51308.5,22092.1,2287167.0,39404929.0,37117762.0,system_historical,7.48,4.47,19.69,0.27,31.74,73.1
2021-04-05,NZOVE,Day,70007.2,53417.9,2327.8,10,45748.3,16589.3,2131436.0,35134697.0,33003260.0,system_historical,7.45,2.51,22.2,0.38,34.69,76.3
2021-04-06,NZOVE,Day,69290.7,54480.1,1893.9,10,47138.2,14810.6,2308244.0,36202145.0,33893900.0,system_historical,7.13,3.04,23.46,0.33,36.04,78.6
2021-04-07,NZOVE,Day,80193.1,56787.5,2428.8,10,48679.9,23405.6,2743165.0,37386190.0,34643025.0,system_historical,7.07,2.1,20.75,0.44,24.9,70.8
2021-04-07,NZOVE,Night,81137.4,62190.3,1940.8,10,54030.5,18947.1,2110533.0,41495441.0,39384907.0,system_historical,6.84,1.89,20.43,0.35,38.48,76.6
2021-04-08,NZOVE,Day,72403.5,53574.5,2563.3,10,45653.7,18829.0,2605040.0,35062060.0,32457020.0,system_historical,7.39,4.13,21.49,0.42,25.44,74.0
2021-04-09,NZOVE,Day,79114.2,62737.6,2630.4,10,53833.5,16376.6,2300648.0,41344091.0,39043442.0,system_historical,7.09,4.32,21.02,0.39,36.81,79.3
2021-04-10,NZOVE,Day,72694.4,54141.6,2637.6,10,46089.8,18552.8,2320116.0,35397005.0,33076889.0,system_historical,7.1,3.51,22.21,0.32,20.99,74.5
2021-04-10,NZOVE,Night,70025.0,55467.7,2435.1,10,47485.8,14557.3,2238565.0,36469125.0,34230560.0,system_historical,6.85,2.66,18.25,0.26,20.8,79.2
2021-04-11,NZOVE,Day,69574.2,48837.8,2309.2,10,41644.8,20736.4,2190748.0,31983235.0,29792487.0,system_historical,6.8,3.5,23.44,0.41,28.73,70.2
2021-04-12,NZOVE,Day,78768.8,57010.1,2669.6,10,48639.5,21758.7,2610603.0,37355105.0,34744502.0,system_historical,7.41,3.09,19.49,0.44,33.46,72.4
2021-04-12,NZOVE,Night,69491.5,49524.2,1898.7,10,42673.1,19967.3,2135784.0,32772965.0,30637181.0,system_historical,7.07,1.82,18.76,0.41,30.66,71.3
2021-04-13,NZOVE,Day,78879.7,62265.3,2534.0,10,53504.8,16614.4,2492942.0,41091698.0,38598756.0,system_historical,6.84,3.22,19.2,0.33,16.72,78.9
2021-04-14,NZOVE,Day,78880.3,59934.6,1892.7,10,52048.4,18945.7,2656452.0,39973185.0,37316733.0,system_historical,7.0,3.04,20.18,0.26,30.81,76.0
2021-04-14,NZOVE,Night,82602.3,64542.7,2526.4,10,55562.1,18059.6,2120811.0,42671670.0,40550860.0,system_historical,6.86,4.0,22.9,0.31,26.66,78.1
2021-04-15,NZOVE,Day,75516.5,55311.6,2147.4,10,47633.1,20204.9,2295197.0,36582207.0,34287010.0,system_historical,7.43,3.15,18.23,0.28,34.44,73.2
2021-04-16,NZOVE,Day,84084.2,59749.7,2209.9,10,51564.9,24334.5,2116627.0,39601829.0,37485202.0,system_historical,7.19,3.83,20.22,0.34,26.67,71.1
2021-04-17,NZOVE,Day,81284.5,64438.9,2106.3,10,55888.8,16845.6,2219645.0,42922574.0,40702928.0,system_historical,7.17,2.96,20.96,0.35,34.77,79.3
2021-04-17,NZOVE,Night,82993.3,59687.9,2886.0,10,50833.0,23305.5,2243537.0,39039766.0,36796230.0,system_historical,7.06,3.88,22.34,0.3,32.01,71.9
2021-04-18,NZOVE,Day,76273.9,56529.6,1827.9,10,49048.8,19744.3,2522819.0,37669442.0,35146624.0,system_historical,7.44,4.1,20.12,0.34,28.72,74.1
2021-04-19,NZOVE,Day,75739.7,59968.1,2168.9,10,51802.4,15771.6,2297896.0,39784221.0,37486325.0,system_historical,7.06,1.87,20.13,0.31,41.25,79.2
